trial_id,uuid,detected,detected_start,detected_end,detected_duration_s,median_RSSI,max_RSSI
Trial_001,bbbe7f51-5630-4df7-bd19-84c2ecea35f3,True,2025-09-16T16:26:59.138510,2025-09-16T16:32:00.600002,301.461492,-67.0,-62.0
Trial_001,bbbe7f51-5630-4df7-bd19-84c2ecea35f3,True,2025-09-16T16:32:39.199056,2025-09-16T16:37:40.979044,301.779988,-68.0,-63.0
Trial_001,bbbe7f51-5630-4df7-bd19-84c2ecea35f3,True,2025-09-16T16:38:09.049668,2025-09-16T16:43:10.783901,301.734233,-68.0,-63.0
Trial_001,bbbe7f51-5630-4df7-bd19-84c2ecea35f3,True,2025-09-16T16:43:49.079220,2025-09-16T16:48:50.931948,301.852728,-68.0,-63.0
Trial_001,bbbe7f51-5630-4df7-bd19-84c2ecea35f3,True,2025-09-16T16:49:36.757576,2025-09-16T16:54:08.228763,271.471187,-67.0,-66.0
Trial_001,bbbe7f51-5630-4df7-bd19-84c2ecea35f3,True,2025-09-16T16:55:03.473386,2025-09-16T16:59:33.943088,270.469702,-67.5,-66.0
Trial_001,bbbe7f51-5630-4df7-bd19-84c2ecea35f3,True,2025-09-16T17:00:32.332280,2025-09-16T17:05:03.825410,271.49313,-68.0,-67.0
Trial_001,bbbe7f51-5630-4df7-bd19-84c2ecea35f3,True,2025-09-16T17:05:58.511645,2025-09-16T17:10:31.869910,273.358265,-69.0,-65.0
Trial_001,bbbe7f51-5630-4df7-bd19-84c2ecea35f3,False,,,0.0,,
Trial_001,bbbe7f51-5630-4df7-bd19-84c2ecea35f3,False,,,0.0,,
Trial_001,bbbe7f51-5630-4df7-bd19-84c2ecea35f3,False,,,0.0,,
Trial_001,bbbe7f51-5630-4df7-bd19-84c2ecea35f3,False,,,0.0,,
Trial_002,bbbe7f51-5630-4df7-bd19-84c2ecea35f3,True,2025-09-16T17:34:27.494811,2025-09-16T17:49:23.024765,895.529954,-67.0,-63.0
Trial_002,bbbe7f51-5630-4df7-bd19-84c2ecea35f3,True,2025-09-16T17:49:39.134823,2025-09-16T18:04:40.996486,901.861663,-67.0,-63.0
